2021-06-14T11:17:23.6502683+04:30 [INF] () Starting up
2021-06-14T11:17:24.1051416+04:30 [WRN] (DataConsumer_Project.Worker) Aplication DemoWorkerService started.
2021-06-14T11:17:26.1369379+04:30 [INF] (DataConsumer_Project.Worker) Project started at 6/14/2021 11:17:26 AM
2021-06-14T12:17:38.2696264+04:30 [INF] () Starting up
2021-06-14T12:17:39.0492945+04:30 [WRN] (DataConsumer_Project.Worker) Aplication DemoWorkerService started.
2021-06-14T12:17:41.1249480+04:30 [INF] (DataConsumer_Project.Worker) Project started at 6/14/2021 12:17:41 PM
2021-06-14T12:17:41.9574903+04:30 [INF] (DataConsumer_Project.Worker) Data inserted into SQL at 06/14/2021 12:17:41.
2021-06-14T12:17:42.6976067+04:30 [INF] (DataConsumer_Project.Worker) Data inserted into Redis at 06/14/2021 12:17:42.
2021-06-14T12:17:42.7039139+04:30 [INF] (DataConsumer_Project.Worker) Data inserted into SQL at 06/14/2021 12:17:42.
2021-06-14T12:17:42.7068818+04:30 [INF] (DataConsumer_Project.Worker) Data inserted into Redis at 06/14/2021 12:17:42.
2021-06-14T12:17:42.7097101+04:30 [INF] (DataConsumer_Project.Worker) Data inserted into SQL at 06/14/2021 12:17:42.
2021-06-14T12:17:42.7114945+04:30 [INF] (DataConsumer_Project.Worker) Data inserted into Redis at 06/14/2021 12:17:42.
2021-06-14T12:17:42.7147790+04:30 [INF] (DataConsumer_Project.Worker) Data inserted into SQL at 06/14/2021 12:17:42.
2021-06-14T12:17:42.7165159+04:30 [INF] (DataConsumer_Project.Worker) Data inserted into Redis at 06/14/2021 12:17:42.
2021-06-14T12:17:42.7198375+04:30 [INF] (DataConsumer_Project.Worker) Data inserted into SQL at 06/14/2021 12:17:42.
2021-06-14T12:17:42.7234090+04:30 [INF] (DataConsumer_Project.Worker) Data inserted into Redis at 06/14/2021 12:17:42.
2021-06-14T12:17:46.1268034+04:30 [INF] (DataConsumer_Project.Worker) Data inserted into SQL at 06/14/2021 12:17:46.
2021-06-14T12:17:46.1292753+04:30 [INF] (DataConsumer_Project.Worker) Data inserted into Redis at 06/14/2021 12:17:46.
2021-06-14T12:17:51.1573580+04:30 [INF] (DataConsumer_Project.Worker) Data inserted into SQL at 06/14/2021 12:17:51.
2021-06-14T12:17:51.1597259+04:30 [INF] (DataConsumer_Project.Worker) Data inserted into Redis at 06/14/2021 12:17:51.
2021-06-14T12:17:57.1513061+04:30 [INF] (DataConsumer_Project.Worker) Data inserted into SQL at 06/14/2021 12:17:57.
2021-06-14T12:17:57.1538672+04:30 [INF] (DataConsumer_Project.Worker) Data inserted into Redis at 06/14/2021 12:17:57.
2021-06-14T12:18:03.1493209+04:30 [INF] (DataConsumer_Project.Worker) Data inserted into SQL at 06/14/2021 12:18:03.
2021-06-14T12:18:03.1516770+04:30 [INF] (DataConsumer_Project.Worker) Data inserted into Redis at 06/14/2021 12:18:03.
2021-06-14T12:18:08.0636225+04:30 [INF] (DataConsumer_Project.Worker) Data inserted into SQL at 06/14/2021 12:18:08.
2021-06-14T12:18:08.0761469+04:30 [INF] (DataConsumer_Project.Worker) Data inserted into Redis at 06/14/2021 12:18:08.
2021-06-14T12:18:12.1450739+04:30 [INF] (DataConsumer_Project.Worker) Data inserted into SQL at 06/14/2021 12:18:12.
2021-06-14T12:18:12.1474851+04:30 [INF] (DataConsumer_Project.Worker) Data inserted into Redis at 06/14/2021 12:18:12.
2021-06-14T12:18:17.1502840+04:30 [INF] (DataConsumer_Project.Worker) Data inserted into SQL at 06/14/2021 12:18:17.
2021-06-14T12:18:17.1523509+04:30 [INF] (DataConsumer_Project.Worker) Data inserted into Redis at 06/14/2021 12:18:17.
2021-06-14T12:18:22.1537842+04:30 [INF] (DataConsumer_Project.Worker) Data inserted into SQL at 06/14/2021 12:18:22.
2021-06-14T12:18:22.1558346+04:30 [INF] (DataConsumer_Project.Worker) Data inserted into Redis at 06/14/2021 12:18:22.
2021-06-14T12:18:27.1461646+04:30 [INF] (DataConsumer_Project.Worker) Data inserted into SQL at 06/14/2021 12:18:27.
2021-06-14T12:18:27.1484701+04:30 [INF] (DataConsumer_Project.Worker) Data inserted into Redis at 06/14/2021 12:18:27.
